,Image,F1,Jaccard,Recall,Precision
250,1491.png,0.8944954128440367,0.8091286307053942,0.9241706161137441,0.8666666666666667
251,3012.png,0.0,0.0,0.0,0.0
252,2566.png,0.8736681887366818,0.7756756756756756,0.8441176470588235,0.9053627760252366
253,841.png,0.9279796048438496,0.8656361474435196,0.9877883310719131,0.875
254,2922.png,0.9286103542234332,0.866734486266531,0.9953271028037384,0.8702757916241062
255,2359.png,0.8312958435207825,0.7112970711297071,0.8104886769964244,0.8531994981179423
256,1304.png,0.884310618066561,0.7926136363636364,0.8584615384615385,0.9117647058823529
257,1063.png,0.8796680497925311,0.7851851851851852,0.7851851851851852,1.0
258,769.png,0.8625377643504532,0.7583001328021248,0.9224555735056543,0.8099290780141843
259,2246.png,0.4133099824868651,0.26048565121412803,0.26048565121412803,1.0
260,2362.png,0.5348837209302325,0.36507936507936506,0.36507936507936506,1.0
261,550.png,0.7917888563049854,0.6553398058252428,0.675,0.9574468085106383
262,2878.png,0.9128178515827712,0.839618138424821,0.9341476367498672,0.8924403855910705
263,1021.png,0.867543859649123,0.7660728117738187,0.7937399678972713,0.9564796905222437
264,197.png,0.8505903723887375,0.7400237060450415,0.750100120144173,0.9821709491347667
265,1274.png,0.9552238805970149,0.9142857142857143,0.9795918367346939,0.9320388349514563
266,915.png,0.7469740634005764,0.5961361545538179,0.6064576509124942,0.9722430607651913
267,2360.png,0.6001609010458567,0.42873563218390803,0.4715549936788875,0.8252212389380531
268,1553.png,0.8082437275985662,0.6781954887218045,0.6959876543209876,0.9636752136752137
269,2262.png,0.9514724180837827,0.9074367088607594,0.9703891708967851,0.9332790886899919
270,2096.png,0.7410187667560322,0.5885860306643952,0.6040209790209791,0.9583911234396671
271,2385.png,0.9015376315079578,0.8207269155206287,0.8730407523510971,0.931957612939208
272,2073.png,0.5352862849533955,0.3654545454545455,0.4186046511627907,0.7421538461538462
273,979.png,0.889934148635936,0.8016949152542373,0.8085470085470086,0.9895397489539749
274,1658.png,0.8624535315985131,0.7581699346405228,0.8285714285714286,0.8992248062015504
275,864.png,0.757602703183354,0.6097910105926138,0.6120689655172413,0.9939337377508166
276,2571.png,0.8429268292682927,0.7284991568296796,0.7284991568296796,1.0
277,1269.png,0.9046321525885558,0.8258706467661692,0.8924731182795699,0.9171270718232044
278,985.png,0.4785615491009682,0.3145454545454546,0.4481865284974093,0.5133531157270029
279,847.png,0.47214353163361666,0.30902348578491967,0.30902348578491967,1.0
280,1218.png,0.8468899521531101,0.7344398340248963,0.9315789473684211,0.7763157894736842
281,926.png,0.9243466299862448,0.8593350383631714,0.9940828402366864,0.8637532133676092
282,2029.png,0.8415584415584416,0.726457399103139,0.7854545454545454,0.9062937062937063
283,559.png,0.9019607843137254,0.8214285714285714,0.8259668508287292,0.9933554817275747
284,16.png,0.8749999999999999,0.7777777777777778,0.9438202247191011,0.8155339805825242
285,1972.png,0.6709677419354838,0.5048543689320388,0.5098039215686274,0.9811320754716981
286,2837.png,0.0,0.0,0.0,0.0
287,1050.png,0.9224113066051342,0.8559957173447538,0.8671366594360087,0.9852125693160814
288,2971.png,0.5213825424721734,0.3526148969889065,0.35514764565043894,0.9801762114537445
289,1988.png,0.0,0.0,0.0,0.0
290,949.png,0.8849557522123894,0.7936507936507936,0.8426966292134831,0.9316770186335404
291,2633.png,0.0,0.0,0.0,0.0
292,1410.png,0.6584867075664622,0.49085365853658536,0.5078864353312302,0.936046511627907
293,1118.png,0.9116751269035532,0.8376865671641791,0.9739696312364425,0.8568702290076335
294,1185.png,0.9832699619771863,0.9670905011219147,0.9743782969103241,0.9923254029163469
295,1726.png,0.9398170438131921,0.8864668483197093,0.975512243878061,0.9066418950301904
296,880.png,0.8953642384105961,0.8105515587529976,0.9602272727272727,0.8387096774193549
297,2951.png,0.9593084545646215,0.9217990275526742,0.9878419452887538,0.9323770491803278
298,2269.png,0.12386706948640482,0.06602254428341385,0.09425287356321839,0.18061674008810572
299,1555.png,0.9021190716448032,0.8216911764705882,1.0,0.8216911764705882
300,2968.png,0.9104477611940298,0.8356164383561644,0.9637546468401487,0.8627287853577371
301,948.png,0.8518859245630174,0.7419871794871795,0.7443729903536977,0.9956989247311828
302,262.png,0.9389567147613762,0.8849372384937239,0.9580973952434881,0.9205658324265505
303,2090.png,0.8166586883676401,0.6901294498381877,0.7497802519777322,0.8966362999299229
304,2285.png,0.47915668423574515,0.315059861373661,0.31685678073510776,0.9823182711198428
305,1262.png,0.4500359453630482,0.29035250463821893,1.0,0.29035250463821893
306,2098.png,0.0,0.0,0.0,0.0
307,1662.png,0.9015873015873017,0.8208092485549133,1.0,0.8208092485549133
308,1739.png,0.9390320553111251,0.8850710900473934,0.9973297730307076,0.8871733966745843
309,557.png,0.7250996015936255,0.56875,0.6061615320566195,0.9021065675340768
310,2718.png,0.9146049481245012,0.8426470588235294,0.9241935483870968,0.9052132701421801
311,2172.png,0.02274881516587678,0.011505273250239693,0.011505273250239693,1.0
312,2729.png,0.8755038065382894,0.7785742731979292,0.7785742731979292,1.0
313,361.png,0.9325221238938053,0.8735751295336788,0.8744813278008299,0.9988151658767772
314,2647.png,0.0,0.0,0.0,0.0
315,2489.png,0.912041884816754,0.8383060635226179,0.8423597678916828,0.9942922374429224
316,822.png,0.867741935483871,0.7663817663817664,0.7685714285714286,0.9962962962962963
317,2305.png,0.8337332876242715,0.7148736037624926,0.7148736037624926,1.0
318,2655.png,0.771802982376864,0.6284032376747608,0.6316568047337278,0.991869918699187
319,2957.png,0.8118892508143323,0.6833447566826594,0.7304029304029304,0.9138405132905592
320,1194.png,0.89807976366322,0.8150134048257373,0.8685714285714285,0.9296636085626911
321,2198.png,0.9112745098039217,0.8370103556956326,0.9166666666666666,0.9059454191033138
322,2497.png,0.0,0.0,0.0,0.0
323,1867.png,0.8731257208765859,0.77482088024565,0.7764102564102564,0.997364953886693
324,2345.png,0.8852201257861636,0.7940761636107193,0.9690189328743546,0.8147612156295224
325,1561.png,0.9160997732426305,0.8451882845188284,0.9926289926289926,0.8505263157894737
326,3035.png,0.9339226519337016,0.8760364842454395,0.936613475177305,0.9312472454825914
327,2789.png,0.6990366088631984,0.5373222748815166,0.53780017788319,0.9983489268024216
328,593.png,0.9535696455317024,0.9112595419847328,0.9130019120458891,0.9979101358411703
329,2190.png,0.8166415662650602,0.6901049952274897,0.6994517897452435,0.9810040705563093
330,12.png,0.973690932311622,0.9487307117969139,0.9911596463858554,0.9568273092369478
331,580.png,0.976009362200117,0.9531428571428572,0.9788732394366197,0.9731621936989499
332,2006.png,0.7720125786163522,0.6286811779769527,0.6626180836707153,0.9246704331450094
333,1902.png,0.9111216730038022,0.8367525098210389,0.8588709677419355,0.9701417004048583
334,2825.png,0.8946078431372548,0.8093126385809313,0.9431524547803618,0.8508158508158508
335,730.png,0.9075506445672192,0.8307484828051247,0.9617486338797814,0.8591352859135286
336,3010.png,0.7661596958174905,0.6209553158705701,0.6316614420062696,0.9734299516908212
337,1616.png,0.8854961832061068,0.7945205479452054,0.8226950354609929,0.9586776859504132
338,1590.png,0.8487804878048781,0.7372881355932204,0.9405405405405406,0.7733333333333333
339,1087.png,0.0,0.0,0.0,0.0
340,702.png,0.8299570288520565,0.7093389296956978,0.8047619047619048,0.8567807351077313
341,2263.png,0.9790428526743822,0.9589460784313726,0.9949141767323586,0.9636699507389163
342,479.png,0.8865979381443299,0.7962962962962963,0.8295819935691319,0.9520295202952029
343,2411.png,0.8583464981569248,0.7518450184501845,0.7518450184501845,1.0
344,3029.png,0.0,0.0,0.0,0.0
345,1539.png,0.8631308810949531,0.7592174567343868,0.7791505791505792,0.9674017257909875
346,3001.png,0.09332113449222325,0.04894433781190019,0.04894433781190019,1.0
347,2503.png,0.9090298757972474,0.8332307692307692,0.9515108924806747,0.8701799485861182
348,2403.png,0.7718978102189781,0.6285289747399703,0.6285289747399703,1.0
349,2429.png,0.7965860597439545,0.6619385342789598,0.6631142687981054,0.9973285841495992
350,1795.png,0.8177458033573142,0.691683569979716,0.7317596566523605,0.9266304347826086
351,2182.png,0.9230769230769231,0.8571428571428571,0.9157458563535912,0.9305263157894736
352,1542.png,0.8633720930232558,0.7595907928388747,0.7962466487935657,0.9428571428571428
353,1520.png,0.8054474708171205,0.6742671009771987,0.8247011952191236,0.7870722433460076
354,246.png,0.8644295302013423,0.7612293144208038,0.972809667673716,0.7777777777777778
355,250.png,0.9150442477876106,0.8433931484502447,0.9182948490230906,0.9118165784832452
356,607.png,0.4618736383442266,0.3002832861189802,0.3002832861189802,1.0
357,2110.png,0.8165137614678899,0.689922480620155,0.7196765498652291,0.9434628975265018
358,2665.png,0.8602227811713977,0.7547288776796973,0.7663252240717029,0.9803439803439803
359,1959.png,0.3315696649029982,0.19873150105708245,0.4519230769230769,0.2618384401114206
360,364.png,0.944324557617609,0.8945216680294358,0.931063829787234,0.957968476357268
361,2737.png,0.7554806070826307,0.6070460704607046,0.6170798898071626,0.9739130434782609
362,162.png,0.9702380952380952,0.9421965317919075,0.9546120058565154,0.9863842662632375
363,2372.png,0.6880165289256197,0.5244094488188976,0.9514285714285714,0.5388349514563107
364,1475.png,0.8359375,0.7181208053691275,0.981651376146789,0.7278911564625851
365,2216.png,0.7011627906976744,0.5398388540734109,0.5427542754275427,0.9901477832512315
366,873.png,0.7584905660377357,0.6109422492401215,0.6203703703703703,0.9757281553398058
